nom,epoch,trial,battery,station,target,reward,state,action,x,y,done,fail,t
[0,3,3,94.5,77.5244939990666,82.1568334529689,-1,35,0,2,1,0,0, 0]
[0,3,4,93,77.5244939990666,82.1568334529689,-1,35,2,2,1,0,0, 0]
[0,3,5,91.5,69.340015401275,79.2933412227291,-1,35,1,3,1,0,0, 0]
[0,3,6,90,69.340015401275,79.2933412227291,-1,35,2,3,1,0,0, 0]
[0,3,7,88.5,69.340015401275,79.2933412227291,-1,35,2,3,1,0,0, 0]
[0,3,8,87,64.5042780503158,70.0035713374682,-1,35,0,3,2,0,0, 0]
[0,3,9,85.5,60.8152165665612,60.8152165665612,-1,34,0,3,3,0,0, 0]
[0,3,10,84,58.4902023725761,51.7822909919729,-1,31,1,3,4,0,0, 0]
[0,3,11,82.5,49.0307950978212,49.0307950978212,-1,31,1,4,4,0,0, 0]
[0,3,12,81,39.6466706113646,48.0786501866846,-1,31,1,5,4,0,0, 0]
[0,3,13,79.5,30.4076082832806,49.0307950978212,5,31,1,6,4,0,0, 0]
[0,3,14,78,28.8471901120107,39.6466706113646,5,30,0,6,5,0,0, 0]
[0,3,15,76.5,30.4076082832806,30.4076082832806,10,30,0,6,6,0,0, 0]
[0,3,16,75,39.6466706113646,28.8471901120107,10,27,0,5,6,0,0, 0]
[0,3,17,73.5,43.0028520335439,19.2314600746738,10,28,0,5,7,0,0, 0]
[0,3,18,72,48.0786501866846,9.61573003733692,10,28,0,5,8,0,0, 0]
[0,3,19,70.5,54.3947833236809,0,10,28,0,5,9,1,0, 0]
[0,4,1,97.5,90.7146157431864,94.7039577981908,-1,35,0,1,0,0,0, 0]
[0,4,2,96,86.0057040670877,86.0057040670877,-1,35,0,1,1,0,0, 0]
[0,4,3,94.5,86.0057040670877,86.0057040670877,-1,35,2,1,1,0,0, 0]
[0,4,4,93,77.5244939990666,82.1568334529689,-1,35,1,2,1,0,0, 0]
[0,4,5,91.5,69.340015401275,79.2933412227291,-1,35,1,3,1,0,0, 0]
[0,4,6,90,64.5042780503158,70.0035713374682,-1,35,0,3,2,0,0, 0]
[0,4,7,88.5,64.5042780503158,70.0035713374682,-1,34,2,3,2,0,0, 0]
[0,4,8,87,56.0688592815306,67.9934791546011,-1,34,1,4,2,0,0, 0]
[0,4,9,85.5,56.0688592815306,67.9934791546011,-1,34,2,4,2,0,0, 0]
[0,4,10,84,61.5707140626831,77.5244939990666,-1,34,1,4,1,0,0, 0]
[0,4,11,82.5,54.3947833236809,76.9258402986953,-1,34,1,5,1,0,0, 0]
[0,4,12,81,48.0786501866846,77.5244939990666,-1,34,1,6,1,0,0, 0]
[0,4,13,79.5,40.7960874927606,67.9934791546011,-1,34,1,6,2,0,0, 0]
[0,4,14,78,34.6700077006375,70.0035713374682,5,34,1,7,2,0,0, 0]
[0,4,15,76.5,27.1973916618404,60.8152165665612,5,33,0,7,3,0,0, 0]
[0,4,16,75,34.6700077006375,58.4902023725761,5,30,0,6,3,0,0, 0]
[0,4,17,73.5,30.4076082832806,49.0307950978212,5,30,0,6,4,0,0, 0]
[0,4,18,72,28.8471901120107,39.6466706113646,5,30,0,6,5,0,0, 0]
[0,4,19,70.5,30.4076082832806,30.4076082832806,10,30,0,6,6,0,0, 0]
[0,4,20,69,39.6466706113646,28.8471901120107,10,18,0,5,6,0,0, 0]
[0,4,21,67.5,43.0028520335439,19.2314600746738,10,19,0,5,7,0,0, 0]
[0,4,22,66,48.0786501866846,9.61573003733692,10,19,0,5,8,0,0, 0]
[0,4,23,64.5,54.3947833236809,0,10,19,0,5,9,1,0, 0]
[0,5,1,97.5,90.7146157431864,94.7039577981908,-1,35,1,1,0,0,0, 0]
[0,5,2,96,82.7176374612441,91.2228248498417,-1,35,1,2,0,0,0, 0]
[0,5,3,94.5,77.5244939990666,82.1568334529689,-1,35,0,2,1,0,0, 0]
[0,5,4,93,73.2312182115982,73.2312182115982,-1,35,0,2,2,0,0, 0]
[0,5,5,91.5,70.0035713374682,64.5042780503158,-1,35,0,2,3,0,0, 0]
[0,5,6,90,60.8152165665612,60.8152165665612,-1,32,1,3,3,0,0, 0]
[0,5,7,88.5,58.4902023725761,51.7822909919729,-1,31,0,3,4,0,0, 0]
[0,5,8,87,49.0307950978212,49.0307950978212,-1,31,1,4,4,0,0, 0]
[0,5,9,85.5,48.0786501866846,39.6466706113646,-1,31,0,4,5,0,0, 0]
[0,5,10,84,49.0307950978212,49.0307950978212,-1,31,1,4,4,0,0, 0]
[0,5,11,82.5,39.6466706113646,48.0786501866846,-1,31,1,5,4,0,0, 0]
[0,5,12,81,30.4076082832806,49.0307950978212,5,31,1,6,4,0,0, 0]
[0,5,13,79.5,28.8471901120107,39.6466706113646,5,30,0,6,5,0,0, 0]
[0,5,14,78,30.4076082832806,30.4076082832806,10,30,0,6,6,0,0, 0]
[0,5,15,76.5,39.6466706113646,28.8471901120107,10,27,0,5,6,0,0, 0]
[0,5,16,75,43.0028520335439,19.2314600746738,10,28,0,5,7,0,0, 0]
[0,5,17,73.5,48.0786501866846,9.61573003733692,10,28,0,5,8,0,0, 0]
[0,5,18,72,54.3947833236809,0,10,28,0,5,9,1,0, 0]
[0,6,1,97.5,90.7146157431864,94.7039577981908,-1,35,0,1,0,0,0, 0]
[0,6,2,96,82.7176374612441,91.2228248498417,-1,35,1,2,0,0,0, 0]
[0,6,3,94.5,77.5244939990666,82.1568334529689,-1,35,0,2,1,0,0, 0]
[0,6,4,93,69.340015401275,79.2933412227291,-1,35,1,3,1,0,0, 0]
[0,6,5,91.5,64.5042780503158,70.0035713374682,-1,35,0,3,2,0,0, 0]
[0,6,6,90,64.5042780503158,70.0035713374682,-1,34,2,3,2,0,0, 0]
[0,6,7,88.5,56.0688592815306,67.9934791546011,-1,34,1,4,2,0,0, 0]
[0,6,8,87,56.0688592815306,67.9934791546011,-1,34,2,4,2,0,0, 0]
[0,6,9,85.5,64.5042780503158,70.0035713374682,-1,34,0,3,2,0,0, 0]
[0,6,10,84,56.0688592815306,67.9934791546011,-1,34,1,4,2,0,0, 0]
[0,6,11,82.5,61.5707140626831,77.5244939990666,-1,34,1,4,1,0,0, 0]
[0,6,12,81,54.3947833236809,76.9258402986953,-1,34,1,5,1,0,0, 0]
[0,6,13,79.5,48.0786501866846,77.5244939990666,-1,34,1,6,1,0,0, 0]
[0,6,14,78,40.7960874927606,67.9934791546011,-1,34,1,6,2,0,0, 0]
[0,6,15,76.5,34.6700077006375,70.0035713374682,5,34,1,7,2,0,0, 0]
[0,6,16,75,27.1973916618404,60.8152165665612,5,33,0,7,3,0,0, 0]
[0,6,17,73.5,34.6700077006375,58.4902023725761,5,30,0,6,3,0,0, 0]
[0,6,18,72,30.4076082832806,49.0307950978212,5,30,0,6,4,0,0, 0]
[0,6,19,70.5,28.8471901120107,39.6466706113646,5,30,0,6,5,0,0, 0]
[0,6,20,69,30.4076082832806,30.4076082832806,10,21,0,6,6,0,0, 0]
[0,6,21,67.5,39.6466706113646,28.8471901120107,10,18,0,5,6,0,0, 0]
[0,6,22,66,43.0028520335439,19.2314600746738,10,19,0,5,7,0,0, 0]
[0,6,23,64.5,48.0786501866846,9.61573003733692,10,19,0,5,8,0,0, 0]
[0,6,24,63,54.3947833236809,0,10,19,0,5,9,1,0, 0]
[0,7,1,97.5,90.7146157431864,94.7039577981908,-1,35,0,1,0,0,0, 0]
[0,7,2,96,90.7146157431864,94.7039577981908,-1,35,2,1,0,0,0, 0]
[0,7,3,94.5,82.7176374612441,91.2228248498417,-1,35,1,2,0,0,0, 0]
[0,7,4,93,82.7176374612441,91.2228248498417,-1,35,2,2,0,0,0, 0]
[0,7,5,91.5,82.7176374612441,91.2228248498417,-1,35,2,2,0,0,0, 0]
[0,7,6,90,77.5244939990666,82.1568334529689,-1,35,0,2,1,0,0, 0]
[0,7,7,88.5,69.340015401275,79.2933412227291,-1,35,1,3,1,0,0, 0]
[0,7,8,87,64.5042780503158,70.0035713374682,-1,35,0,3,2,0,0, 0]
[0,7,9,85.5,56.0688592815306,67.9934791546011,-1,34,1,4,2,0,0, 0]
[0,7,10,84,61.5707140626831,77.5244939990666,-1,34,1,4,1,0,0, 0]
[0,7,11,82.5,54.3947833236809,76.9258402986953,-1,34,1,5,1,0,0, 0]
[0,7,12,81,48.0786501866846,77.5244939990666,-1,34,1,6,1,0,0, 0]
[0,7,13,79.5,40.7960874927606,67.9934791546011,-1,34,1,6,2,0,0, 0]
[0,7,14,78,34.6700077006375,70.0035713374682,5,34,1,7,2,0,0, 0]
[0,7,15,76.5,27.1973916618404,60.8152165665612,5,33,0,7,3,0,0, 0]
[0,7,16,75,34.6700077006375,58.4902023725761,5,30,0,6,3,0,0, 0]
[0,7,17,73.5,30.4076082832806,49.0307950978212,5,30,0,6,4,0,0, 0]
[0,7,18,72,28.8471901120107,39.6466706113646,5,30,0,6,5,0,0, 0]
[0,7,19,70.5,30.4076082832806,30.4076082832806,10,30,0,6,6,0,0, 0]
[0,7,20,69,39.6466706113646,28.8471901120107,10,18,0,5,6,0,0, 0]
[0,7,21,67.5,43.0028520335439,19.2314600746738,10,19,0,5,7,0,0, 0]
[0,7,22,66,48.0786501866846,9.61573003733692,10,19,0,5,8,0,0, 0]
[0,7,23,64.5,54.3947833236809,0,10,19,0,5,9,1,0, 0]
[0,8,1,97.5,99,99,-1,35,2,5,9,0,0, 0]
[0,8,2,96,99,99,-1,35,2,5,9,0,0, 0]
[0,8,3,94.5,99,99,-1,35,2,5,9,0,0, 0]
[0,8,4,93,99,99,-1,35,2,5,9,0,0, 0]
[0,8,5,91.5,90.7146157431864,94.7039577981908,-1,35,1,1,0,0,0, 0]
[0,8,6,90,86.0057040670877,86.0057040670877,-1,35,0,1,1,0,0, 0]
[0,8,7,88.5,82.1568334529689,77.5244939990666,-1,35,0,1,2,0,0, 0]
[0,8,8,87,73.2312182115982,73.2312182115982,-1,35,0,2,2,0,0, 0]
[0,8,9,85.5,70.0035713374682,64.5042780503158,-1,35,0,2,3,0,0, 0]
[0,8,10,84,60.8152165665612,60.8152165665612,-1,32,1,3,3,0,0, 0]
