nom,epoch,trial,battery,station,target,reward,state,action,destiny,done,fail,other
[0, 0, 0, 98, 90.7146157431864, 94.70395779819081, -1, 98, 1, 1, 0, 0, 0]
[0, 0, 1, 96, 82.71763746124408, 91.22282484984174, -1, 96, 0, 0, 0, 0, 0]
[0, 0, 2, 94, 82.71763746124408, 91.22282484984174, -1, 94, 2, 2, 0, 0, 0]
[0, 0, 3, 92, 77.52449399906664, 82.15683345296888, -1, 92, 0, 0, 0, 0, 0]
[0, 0, 4, 90, 73.23121821159823, 73.23121821159823, -1, 90, 3, 0, 0, 0, 0]
[0, 0, 5, 88, 70.0035713374682, 64.5042780503158, -1, 88, 3, 0, 0, 0, 0]
[0, 0, 6, 86, 60.81521656656117, 60.81521656656117, -1, 86, 1, 1, 0, 0, 0]
[0, 0, 7, 84, 58.490202372576086, 51.7822909919729, -1, 84, 3, 0, 0, 0, 0]
[0, 0, 8, 82, 58.490202372576086, 51.7822909919729, -1, 82, 2, 2, 0, 0, 0]
[0, 0, 9, 80, 49.030795097821205, 49.030795097821205, -1, 80, 1, 1, 0, 0, 0]
[0, 0, 10, 78, 48.07865018668458, 39.646670611364556, -1, 78, 0, 0, 0, 0, 0]
[0, 0, 11, 76, 48.07865018668458, 39.646670611364556, -1, 76, 2, 2, 0, 0, 0]
[0, 0, 12, 74, 38.46292014934766, 38.46292014934766, -1, 74, 1, 1, 0, 0, 0]
[0, 0, 13, 72, 39.646670611364556, 28.847190112010743, 10, 72, 3, 0, 0, 0, 0]
[0, 0, 14, 70, 43.00285203354387, 19.23146007467383, 10, 70, 3, 0, 0, 0, 0]
[0, 0, 15, 68, 48.07865018668458, 9.615730037336915, 10, 68, 0, 0, 0, 0, 0]
[0, 0, 16, 66, 54.39478332368086, 0, 10, 66, 3, 0, 1, 0, 0]
[0, 1, 0, 98, 94.70395779819081, 90.7146157431864, -1, 98, 3, 0, 0, 0, 0]
[0, 1, 1, 96, 94.70395779819081, 90.7146157431864, -1, 96, 2, 2, 0, 0, 0]
[0, 1, 2, 94, 91.22282484984174, 82.71763746124408, -1, 94, 0, 0, 0, 0, 0]
[0, 1, 3, 92, 88.65265056855428, 75.10125240771652, -1, 92, 3, 0, 0, 0, 0]
[0, 1, 4, 90, 87.07413887244226, 67.99347915460106, -1, 90, 3, 0, 0, 0, 0]
