nom,epoch,trial,battery,station,target,reward,state,action,x,y,done,fail,we
[0, 2, 3, 94.5, 90.7146157431864, 94.70395779819081, -1, 35, 1, 1, 0, 0, 0, 0]
[0, 2, 4, 93.0, 86.00570406708773, 86.00570406708773, -1, 35, 0, 1, 1, 0, 0, 0]
[0, 2, 5, 91.5, 82.15683345296888, 77.52449399906664, -1, 35, 0, 1, 2, 0, 0, 0]
[0, 2, 6, 90.0, 73.23121821159823, 73.23121821159823, -1, 35, 0, 2, 2, 0, 0, 0]
[0, 2, 7, 88.5, 70.0035713374682, 64.5042780503158, -1, 35, 0, 2, 3, 0, 0, 0]
[0, 2, 8, 87.0, 70.0035713374682, 64.5042780503158, -1, 32, 2, 2, 3, 0, 0, 0]
[0, 2, 9, 85.5, 70.0035713374682, 64.5042780503158, -1, 32, 2, 2, 3, 0, 0, 0]
[0, 2, 10, 84.0, 67.99347915460106, 56.06885928153056, -1, 32, 0, 2, 4, 0, 0, 0]
[0, 2, 11, 82.5, 58.490202372576086, 51.7822909919729, -1, 32, 1, 3, 4, 0, 0, 0]
[0, 2, 12, 81.0, 57.69438022402149, 43.00285203354387, -1, 31, 0, 3, 5, 0, 0, 0]
[0, 2, 13, 79.5, 48.07865018668458, 39.646670611364556, -1, 31, 1, 4, 5, 0, 0, 0]
[0, 2, 14, 78.0, 49.030795097821205, 49.030795097821205, -1, 31, 1, 4, 4, 0, 0, 0]
[0, 2, 15, 76.5, 39.646670611364556, 48.07865018668458, -1, 31, 1, 5, 4, 0, 0, 0]
[0, 2, 16, 75.0, 30.407608283280585, 49.030795097821205, 5, 31, 1, 6, 4, 0, 0, 0]
[0, 2, 17, 73.5, 28.847190112010743, 39.646670611364556, 5, 30, 0, 6, 5, 0, 0, 0]
[0, 2, 18, 72.0, 30.407608283280585, 30.407608283280585, 10, 30, 0, 6, 6, 0, 0, 0]
[0, 2, 19, 70.5, 39.646670611364556, 28.847190112010743, 10, 27, 0, 5, 6, 0, 0, 0]
[0, 2, 20, 69.0, 43.00285203354387, 19.23146007467383, 10, 19, 0, 5, 7, 0, 0, 0]
[0, 2, 21, 67.5, 48.07865018668458, 9.615730037336915, 10, 19, 0, 5, 8, 0, 0, 0]
[0, 2, 22, 66.0, 54.39478332368086, 0, 10, 19, 0, 5, 9, 1, 0, 0]
[0, 3, 1, 97.5, 90.7146157431864, 94.70395779819081, -1, 35, 0, 1, 0, 0, 0, 0]
[0, 3, 2, 96.0, 86.00570406708773, 86.00570406708773, -1, 35, 0, 1, 1, 0, 0, 0]
[0, 3, 3, 94.5, 86.00570406708773, 86.00570406708773, -1, 35, 2, 1, 1, 0, 0, 0]
[0, 3, 4, 93.0, 77.52449399906664, 82.15683345296888, -1, 35, 1, 2, 1, 0, 0, 0]
[0, 3, 5, 91.5, 69.34001540127501, 79.29334122272911, -1, 35, 1, 3, 1, 0, 0, 0]
[0, 3, 6, 90.0, 64.5042780503158, 70.0035713374682, -1, 35, 0, 3, 2, 0, 0, 0]
[0, 3, 7, 88.5, 56.06885928153056, 67.99347915460106, -1, 34, 1, 4, 2, 0, 0, 0]
[0, 3, 8, 87.0, 64.5042780503158, 70.0035713374682, -1, 34, 0, 3, 2, 0, 0, 0]
[0, 3, 9, 85.5, 60.81521656656117, 60.81521656656117, -1, 34, 0, 3, 3, 0, 0, 0]
[0, 3, 10, 84.0, 58.490202372576086, 51.7822909919729, -1, 31, 1, 3, 4, 0, 0, 0]
[0, 3, 11, 82.5, 49.030795097821205, 49.030795097821205, -1, 31, 1, 4, 4, 0, 0, 0]
[0, 3, 12, 81.0, 39.646670611364556, 48.07865018668458, -1, 31, 1, 5, 4, 0, 0, 0]
[0, 3, 13, 79.5, 30.407608283280585, 49.030795097821205, 5, 31, 1, 6, 4, 0, 0, 0]
[0, 3, 14, 78.0, 28.847190112010743, 39.646670611364556, 5, 30, 0, 6, 5, 0, 0, 0]
[0, 3, 15, 76.5, 30.407608283280585, 30.407608283280585, 10, 30, 0, 6, 6, 0, 0, 0]
[0, 3, 16, 75.0, 39.646670611364556, 28.847190112010743, 10, 27, 0, 5, 6, 0, 0, 0]
[0, 3, 17, 73.5, 43.00285203354387, 19.23146007467383, 10, 28, 0, 5, 7, 0, 0, 0]
[0, 3, 18, 72.0, 48.07865018668458, 9.615730037336915, 10, 28, 0, 5, 8, 0, 0, 0]
[0, 3, 19, 70.5, 54.39478332368086, 0, 10, 28, 0, 5, 9, 1, 0, 0]
[0, 4, 1, 97.5, 99, 99, -1, 35, 2, 5, 9, 0, 0, 0]
[0, 4, 2, 96.0, 90.7146157431864, 94.70395779819081, -1, 35, 0, 1, 0, 0, 0, 0]
[0, 4, 3, 94.5, 82.71763746124408, 91.22282484984174, -1, 35, 1, 2, 0, 0, 0, 0]
[0, 4, 4, 93.0, 75.10125240771652, 88.65265056855428, -1, 35, 1, 3, 0, 0, 0, 0]
[0, 4, 5, 91.5, 67.99347915460106, 87.07413887244226, -1, 35, 1, 4, 0, 0, 0, 0]
[0, 4, 6, 90.0, 61.57071406268307, 77.52449399906664, -1, 35, 1, 4, 1, 0, 0, 0]
[0, 4, 7, 88.5, 56.06885928153056, 67.99347915460106, -1, 34, 0, 4, 2, 0, 0, 0]
[0, 4, 8, 87.0, 61.57071406268307, 77.52449399906664, -1, 34, 1, 4, 1, 0, 0, 0]
[0, 4, 9, 85.5, 61.57071406268307, 77.52449399906664, -1, 34, 2, 4, 1, 0, 0, 0]
[0, 4, 10, 84.0, 54.39478332368086, 76.92584029869532, -1, 34, 1, 5, 1, 0, 0, 0]
[0, 4, 11, 82.5, 48.07865018668458, 77.52449399906664, -1, 34, 1, 6, 1, 0, 0, 0]
[0, 4, 12, 81.0, 40.796087492760634, 67.99347915460106, -1, 34, 1, 6, 2, 0, 0, 0]
[0, 4, 13, 79.5, 34.670007700637505, 70.0035713374682, 5, 34, 1, 7, 2, 0, 0, 0]
[0, 4, 14, 78.0, 27.19739166184043, 60.81521656656117, 5, 33, 0, 7, 3, 0, 0, 0]
[0, 4, 15, 76.5, 34.670007700637505, 58.490202372576086, 5, 30, 0, 6, 3, 0, 0, 0]
[0, 4, 16, 75.0, 30.407608283280585, 49.030795097821205, 5, 30, 0, 6, 4, 0, 0, 0]
[0, 4, 17, 73.5, 28.847190112010743, 39.646670611364556, 5, 30, 0, 6, 5, 0, 0, 0]
[0, 4, 18, 72.0, 30.407608283280585, 30.407608283280585, 10, 30, 0, 6, 6, 0, 0, 0]
[0, 4, 19, 70.5, 39.646670611364556, 28.847190112010743, 10, 27, 0, 5, 6, 0, 0, 0]
[0, 4, 20, 69.0, 43.00285203354387, 19.23146007467383, 10, 19, 0, 5, 7, 0, 0, 0]
[0, 4, 21, 67.5, 48.07865018668458, 9.615730037336915, 10, 19, 0, 5, 8, 0, 0, 0]
[0, 4, 22, 66.0, 54.39478332368086, 0, 10, 19, 0, 5, 9, 1, 0, 0]
[0, 5, 1, 97.5, 90.7146157431864, 94.70395779819081, -1, 35, 1, 1, 0, 0, 0, 0]
[0, 5, 2, 96.0, 82.71763746124408, 91.22282484984174, -1, 35, 1, 2, 0, 0, 0, 0]
[0, 5, 3, 94.5, 75.10125240771652, 88.65265056855428, -1, 35, 1, 3, 0, 0, 0, 0]
[0, 5, 4, 93.0, 75.10125240771652, 88.65265056855428, -1, 35, 2, 3, 0, 0, 0, 0]
[0, 5, 5, 91.5, 67.99347915460106, 87.07413887244226, -1, 35, 1, 4, 0, 0, 0, 0]
[0, 5, 6, 90.0, 61.57071406268307, 77.52449399906664, -1, 35, 1, 4, 1, 0, 0, 0]
[0, 5, 7, 88.5, 56.06885928153056, 67.99347915460106, -1, 34, 0, 4, 2, 0, 0, 0]
[0, 5, 8, 87.0, 64.5042780503158, 70.0035713374682, -1, 34, 0, 3, 2, 0, 0, 0]
[0, 5, 9, 85.5, 60.81521656656117, 60.81521656656117, -1, 34, 0, 3, 3, 0, 0, 0]
[0, 5, 10, 84.0, 58.490202372576086, 51.7822909919729, -1, 31, 1, 3, 4, 0, 0, 0]
[0, 5, 11, 82.5, 49.030795097821205, 49.030795097821205, -1, 31, 1, 4, 4, 0, 0, 0]
[0, 5, 12, 81.0, 39.646670611364556, 48.07865018668458, -1, 31, 1, 5, 4, 0, 0, 0]
[0, 5, 13, 79.5, 30.407608283280585, 49.030795097821205, 5, 31, 1, 6, 4, 0, 0, 0]
[0, 5, 14, 78.0, 28.847190112010743, 39.646670611364556, 5, 30, 0, 6, 5, 0, 0, 0]
[0, 5, 15, 76.5, 30.407608283280585, 30.407608283280585, 10, 30, 0, 6, 6, 0, 0, 0]
[0, 5, 16, 75.0, 39.646670611364556, 28.847190112010743, 10, 27, 0, 5, 6, 0, 0, 0]
[0, 5, 17, 73.5, 43.00285203354387, 19.23146007467383, 10, 28, 0, 5, 7, 0, 0, 0]
[0, 5, 18, 72.0, 48.07865018668458, 9.615730037336915, 10, 28, 0, 5, 8, 0, 0, 0]
[0, 5, 19, 70.5, 54.39478332368086, 0, 10, 28, 0, 5, 9, 1, 0, 0]
[0, 6, 1, 97.5, 99, 99, -1, 35, 2, 5, 9, 0, 0, 0]
[0, 6, 2, 96.0, 90.7146157431864, 94.70395779819081, -1, 35, 0, 1, 0, 0, 0, 0]
[0, 6, 3, 94.5, 90.7146157431864, 94.70395779819081, -1, 35, 2, 1, 0, 0, 0, 0]
[0, 6, 4, 93.0, 82.71763746124408, 91.22282484984174, -1, 35, 1, 2, 0, 0, 0, 0]
[0, 6, 5, 91.5, 75.10125240771652, 88.65265056855428, -1, 35, 1, 3, 0, 0, 0, 0]
[0, 6, 6, 90.0, 75.10125240771652, 88.65265056855428, -1, 35, 2, 3, 0, 0, 0, 0]
[0, 6, 7, 88.5, 75.10125240771652, 88.65265056855428, -1, 35, 2, 3, 0, 0, 0, 0]
[0, 6, 8, 87.0, 69.34001540127501, 79.29334122272911, -1, 35, 0, 3, 1, 0, 0, 0]
[0, 6, 9, 85.5, 69.34001540127501, 79.29334122272911, -1, 35, 2, 3, 1, 0, 0, 0]
