nom,epoch,trial,battery,station,target,reward,state,action,x,y,done,fail,fd
[0, 9, 5, 91.5, 82.71763746124408, 91.22282484984174, -1, 35, 1, 2, 0, 0, 0, 0]
[0, 9, 6, 90.0, 75.10125240771652, 88.65265056855428, -1, 35, 1, 3, 0, 0, 0, 0]
[0, 9, 7, 88.5, 75.10125240771652, 88.65265056855428, -1, 35, 2, 3, 0, 0, 0, 0]
[0, 9, 8, 87.0, 67.99347915460106, 87.07413887244226, -1, 35, 1, 4, 0, 0, 0, 0]
[0, 9, 9, 85.5, 61.57071406268307, 86.54157033603224, -1, 35, 1, 5, 0, 0, 0, 0]
[0, 9, 10, 84.0, 54.39478332368086, 76.92584029869532, -1, 34, 1, 5, 1, 0, 0, 0]
[0, 9, 11, 82.5, 48.07865018668458, 67.3101102613584, -1, 34, 1, 5, 2, 0, 0, 0]
[0, 9, 12, 81.0, 43.00285203354387, 57.69438022402149, -1, 34, 1, 5, 3, 0, 0, 0]
[0, 9, 13, 79.5, 34.670007700637505, 58.490202372576086, 5, 31, 1, 6, 3, 0, 0, 0]
[0, 9, 14, 78.0, 30.407608283280585, 49.030795097821205, 5, 30, 0, 6, 4, 0, 0, 0]
[0, 9, 15, 76.5, 28.847190112010743, 39.646670611364556, 5, 30, 0, 6, 5, 0, 0, 0]
[0, 9, 16, 75.0, 30.407608283280585, 30.407608283280585, 10, 30, 0, 6, 6, 0, 0, 0]
[0, 9, 17, 73.5, 34.670007700637505, 21.501426016771934, 10, 27, 0, 6, 7, 0, 0, 0]
[0, 9, 18, 72.0, 43.00285203354387, 19.23146007467383, 10, 27, 0, 5, 7, 0, 0, 0]
[0, 9, 19, 70.5, 48.07865018668458, 9.615730037336915, 10, 28, 0, 5, 8, 0, 0, 0]
[0, 9, 20, 69.0, 54.39478332368086, 0, 10, 19, 0, 5, 9, 1, 0, 0]
