nom,epoch,trial,battery,station,target,reward,state,action,destiny,done,fail,other
[0, 0, 0, 99, 90.7146157431864, 94.70395779819081, -1, 99, 1, 1, 0, 0, 0]
[0, 0, 1, 98, 86.00570406708773, 86.00570406708773, -1, 98, 3, 0, 0, 0, 0]
[0, 0, 2, 97, 94.70395779819081, 90.7146157431864, -1, 97, 0, 0, 0, 0, 0]
[0, 0, 3, 96, 91.22282484984174, 82.71763746124408, -1, 96, 0, 0, 0, 0, 0]
[0, 0, 4, 95, 88.65265056855428, 75.10125240771652, -1, 95, 0, 0, 0, 0, 0]
[0, 0, 5, 94, 88.65265056855428, 75.10125240771652, -1, 94, 2, 0, 0, 0, 0]
[0, 0, 6, 93, 87.07413887244226, 67.99347915460106, -1, 93, 0, 0, 0, 0, 0]
[0, 0, 7, 92, 77.52449399906664, 61.57071406268307, -1, 92, 1, 1, 0, 0, 0]
[0, 0, 8, 91, 76.92584029869532, 54.39478332368086, -1, 91, 1, 1, 0, 0, 0]
[0, 0, 9, 90, 77.52449399906664, 48.07865018668458, -1, 90, 3, 0, 0, 0, 0]
[0, 0, 10, 89, 67.99347915460106, 40.796087492760634, -1, 89, 0, 0, 0, 0, 0]
[0, 0, 11, 88, 77.52449399906664, 48.07865018668458, -1, 88, 0, 0, 0, 0, 0]
[0, 0, 12, 87, 77.52449399906664, 48.07865018668458, -1, 87, 2, 0, 0, 0, 0]
[0, 0, 13, 86, 67.99347915460106, 40.796087492760634, -1, 86, 0, 0, 0, 0, 0]
[0, 0, 14, 85, 77.52449399906664, 48.07865018668458, -1, 85, 1, 1, 0, 0, 0]
[0, 0, 15, 84, 67.99347915460106, 40.796087492760634, -1, 84, 3, 0, 0, 0, 0]
[0, 0, 16, 83, 77.52449399906664, 48.07865018668458, -1, 83, 1, 1, 0, 0, 0]
[0, 0, 17, 82, 67.99347915460106, 40.796087492760634, -1, 82, 1, 1, 0, 0, 0]
[0, 0, 18, 81, 77.52449399906664, 48.07865018668458, -1, 81, 1, 1, 0, 0, 0]
[0, 0, 19, 80, 77.52449399906664, 48.07865018668458, -1, 80, 2, 1, 0, 0, 0]
[0, 0, 20, 79, 67.99347915460106, 40.796087492760634, -1, 79, 3, 0, 0, 0, 0]
[0, 0, 21, 78, 77.52449399906664, 48.07865018668458, -1, 78, 0, 0, 0, 0, 0]
[0, 0, 22, 77, 77.52449399906664, 48.07865018668458, -1, 77, 2, 0, 0, 0, 0]
[0, 0, 23, 76, 77.52449399906664, 48.07865018668458, -1, 76, 2, 0, 0, 0, 0]
[0, 0, 24, 75, 77.52449399906664, 48.07865018668458, -1, 75, 2, 0, 0, 0, 0]
[0, 0, 25, 74, 77.52449399906664, 48.07865018668458, -1, 74, 2, 0, 0, 0, 0]
[0, 0, 26, 73, 67.99347915460106, 40.796087492760634, -1, 73, 0, 0, 0, 0, 0]
[0, 0, 27, 72, 77.52449399906664, 48.07865018668458, -1, 72, 1, 1, 0, 0, 0]
[0, 0, 28, 71, 67.99347915460106, 40.796087492760634, -1, 71, 3, 0, 0, 0, 0]
[0, 0, 29, 70, 77.52449399906664, 48.07865018668458, -1, 70, 1, 1, 0, 0, 0]
[0, 0, 30, 69, 67.99347915460106, 40.796087492760634, -1, 69, 0, 0, 0, 0, 0]
[0, 0, 31, 68, 67.99347915460106, 40.796087492760634, -1, 68, 2, 0, 0, 0, 0]
