nom,epoch,trial,battery,station,target,reward,state,action,destiny,done,fail,other
[0, 0, 0, 98, 94.70395779819081, 90.7146157431864, -1, 98, 0, 0, 0, 0, 0]
[0, 0, 1, 96, 91.22282484984174, 82.71763746124408, -1, 96, 0, 0, 0, 0, 0]
[0, 0, 2, 94, 82.15683345296888, 77.52449399906664, -1, 94, 3, 0, 0, 0, 0]
[0, 0, 3, 92, 82.15683345296888, 77.52449399906664, -1, 92, 2, 2, 0, 0, 0]
[0, 0, 4, 90, 73.23121821159823, 73.23121821159823, -1, 90, 1, 1, 0, 0, 0]
[0, 0, 5, 88, 73.23121821159823, 73.23121821159823, -1, 88, 2, 2, 0, 0, 0]
[0, 0, 6, 86, 70.0035713374682, 64.5042780503158, -1, 86, 0, 0, 0, 0, 0]
[0, 0, 7, 84, 67.99347915460106, 56.06885928153056, -1, 84, 3, 0, 0, 0, 0]
[0, 0, 8, 82, 67.3101102613584, 48.07865018668458, -1, 82, 0, 0, 0, 0, 0]
[0, 0, 9, 80, 67.99347915460106, 56.06885928153056, -1, 80, 1, 1, 0, 0, 0]
[0, 0, 10, 78, 58.490202372576086, 51.7822909919729, -1, 78, 1, 1, 0, 0, 0]
[0, 0, 11, 76, 58.490202372576086, 51.7822909919729, -1, 76, 2, 2, 0, 0, 0]
[0, 0, 12, 74, 49.030795097821205, 49.030795097821205, -1, 74, 3, 0, 0, 0, 0]
[0, 0, 13, 72, 39.646670611364556, 48.07865018668458, -1, 72, 0, 0, 0, 0, 0]
[0, 0, 14, 70, 38.46292014934766, 38.46292014934766, -1, 70, 3, 0, 0, 0, 0]
[0, 0, 15, 68, 39.646670611364556, 28.847190112010743, 10, 68, 3, 0, 0, 0, 0]
[0, 0, 16, 66, 30.407608283280585, 30.407608283280585, 10, 66, 1, 1, 0, 0, 0]
[0, 0, 17, 64, 28.847190112010743, 39.646670611364556, 5, 64, 1, 1, 0, 0, 0]
[0, 0, 18, 62, 19.23146007467383, 43.00285203354387, 5, 62, 1, 1, 0, 0, 0]
