nom,epoch,trial,battery,station,target,reward,state,action,destiny,done,fail,other
[0, 0, 0, 98, 99, 99, -1, 98, 2, 2, 0, 0, 0]
[0, 0, 1, 96, 94.70395779819081, 90.7146157431864, -1, 96, 3, 0, 0, 0, 0]
[0, 0, 2, 94, 91.22282484984174, 82.71763746124408, -1, 94, 1, 1, 0, 0, 0]
[0, 0, 3, 92, 91.22282484984174, 82.71763746124408, -1, 92, 2, 2, 0, 0, 0]
[0, 0, 4, 90, 88.65265056855428, 75.10125240771652, -1, 90, 1, 1, 0, 0, 0]
[0, 0, 5, 88, 87.07413887244226, 67.99347915460106, -1, 88, 3, 0, 0, 0, 0]
[0, 0, 6, 86, 77.52449399906664, 61.57071406268307, -1, 86, 1, 1, 0, 0, 0]
[0, 0, 7, 84, 77.52449399906664, 61.57071406268307, -1, 84, 2, 2, 0, 0, 0]
[0, 0, 8, 82, 67.99347915460106, 56.06885928153056, -1, 82, 3, 0, 0, 0, 0]
[0, 0, 9, 80, 58.490202372576086, 51.7822909919729, -1, 80, 0, 0, 0, 0, 0]
[0, 0, 10, 78, 58.490202372576086, 51.7822909919729, -1, 78, 2, 2, 0, 0, 0]
[0, 0, 11, 76, 49.030795097821205, 49.030795097821205, -1, 76, 3, 0, 0, 0, 0]
[0, 0, 12, 74, 48.07865018668458, 39.646670611364556, -1, 74, 3, 0, 0, 0, 0]
[0, 0, 13, 72, 38.46292014934766, 38.46292014934766, -1, 72, 1, 1, 0, 0, 0]
[0, 0, 14, 70, 39.646670611364556, 28.847190112010743, 10, 70, 0, 0, 0, 0, 0]
[0, 0, 15, 68, 30.407608283280585, 30.407608283280585, 10, 68, 1, 1, 0, 0, 0]
[0, 0, 16, 66, 34.670007700637505, 21.501426016771934, 10, 66, 0, 0, 0, 0, 0]
[0, 0, 17, 64, 27.19739166184043, 27.19739166184043, 10, 64, 1, 1, 0, 0, 0]
[0, 0, 18, 62, 27.19739166184043, 27.19739166184043, 10, 62, 2, 2, 0, 0, 0]
[0, 0, 19, 60, 34.670007700637505, 21.501426016771934, 10, 60, 0, 0, 0, 0, 0]
[0, 0, 20, 58, 40.796087492760634, 13.598695830920215, 10, 58, 0, 0, 0, 0, 0]
[0, 0, 21, 56, 34.670007700637505, 21.501426016771934, 10, 56, 1, 1, 0, 0, 0]
[0, 0, 22, 54, 40.796087492760634, 13.598695830920215, 10, 54, 0, 0, 0, 0, 0]
[0, 0, 23, 52, 48.07865018668458, 9.615730037336915, 10, 52, 3, 0, 0, 0, 0]
[0, 0, 24, 50, 54.39478332368086, 0, 10, 50, 0, 0, 1, 0, 0]
[0, 1, 0, 98, 90.7146157431864, 94.70395779819081, -1, 98, 1, 1, 0, 0, 0]
[0, 1, 1, 96, 82.71763746124408, 91.22282484984174, -1, 96, 3, 0, 0, 0, 0]
[0, 1, 2, 94, 75.10125240771652, 88.65265056855428, -1, 94, 3, 0, 0, 0, 0]
[0, 1, 3, 92, 67.99347915460106, 87.07413887244226, -1, 92, 0, 0, 0, 0, 0]
[0, 1, 4, 90, 67.99347915460106, 87.07413887244226, -1, 90, 2, 2, 0, 0, 0]
[0, 1, 5, 88, 61.57071406268307, 86.54157033603224, -1, 88, 1, 1, 0, 0, 0]
[0, 1, 6, 86, 61.57071406268307, 86.54157033603224, -1, 86, 2, 2, 0, 0, 0]
[0, 1, 7, 84, 54.39478332368086, 76.92584029869532, -1, 84, 1, 1, 0, 0, 0]
[0, 1, 8, 82, 48.07865018668458, 67.3101102613584, -1, 82, 0, 0, 0, 0, 0]
[0, 1, 9, 80, 43.00285203354387, 57.69438022402149, -1, 80, 3, 0, 0, 0, 0]
[0, 1, 10, 78, 39.646670611364556, 48.07865018668458, -1, 78, 3, 0, 0, 0, 0]
[0, 1, 11, 76, 39.646670611364556, 48.07865018668458, -1, 76, 2, 2, 0, 0, 0]
[0, 1, 12, 74, 38.46292014934766, 38.46292014934766, -1, 74, 0, 0, 0, 0, 0]
[0, 1, 13, 72, 28.847190112010743, 39.646670611364556, 5, 72, 1, 1, 0, 0, 0]
[0, 1, 14, 70, 28.847190112010743, 39.646670611364556, 5, 70, 2, 2, 0, 0, 0]
[0, 1, 15, 68, 30.407608283280585, 30.407608283280585, 10, 68, 0, 0, 0, 0, 0]
[0, 1, 16, 66, 34.670007700637505, 21.501426016771934, 10, 66, 0, 0, 0, 0, 0]
[0, 1, 17, 64, 40.796087492760634, 13.598695830920215, 10, 64, 0, 0, 0, 0, 0]
[0, 1, 18, 62, 48.07865018668458, 9.615730037336915, 10, 62, 3, 0, 0, 0, 0]
[0, 1, 19, 60, 48.07865018668458, 9.615730037336915, 10, 60, 2, 2, 0, 0, 0]
[0, 1, 20, 58, 54.39478332368086, 0, 10, 58, 0, 0, 1, 0, 0]
[0, 2, 0, 98, 94.70395779819081, 90.7146157431864, -1, 98, 3, 0, 0, 0, 0]
[0, 2, 1, 96, 91.22282484984174, 82.71763746124408, -1, 96, 3, 0, 0, 0, 0]
[0, 2, 2, 94, 88.65265056855428, 75.10125240771652, -1, 94, 0, 0, 0, 0, 0]
[0, 2, 3, 92, 79.29334122272911, 69.34001540127501, -1, 92, 1, 1, 0, 0, 0]
[0, 2, 4, 90, 79.29334122272911, 69.34001540127501, -1, 90, 2, 2, 0, 0, 0]
[0, 2, 5, 88, 77.52449399906664, 61.57071406268307, -1, 88, 1, 1, 0, 0, 0]
[0, 2, 6, 86, 77.52449399906664, 61.57071406268307, -1, 86, 2, 2, 0, 0, 0]
[0, 2, 7, 84, 67.99347915460106, 56.06885928153056, -1, 84, 3, 0, 0, 0, 0]
[0, 2, 8, 82, 67.99347915460106, 56.06885928153056, -1, 82, 2, 2, 0, 0, 0]
[0, 2, 9, 80, 58.490202372576086, 51.7822909919729, -1, 80, 3, 0, 0, 0, 0]
[0, 2, 10, 78, 49.030795097821205, 49.030795097821205, -1, 78, 0, 0, 0, 0, 0]
[0, 2, 11, 76, 49.030795097821205, 49.030795097821205, -1, 76, 2, 2, 0, 0, 0]
[0, 2, 12, 74, 39.646670611364556, 48.07865018668458, -1, 74, 1, 1, 0, 0, 0]
[0, 2, 13, 72, 30.407608283280585, 49.030795097821205, 5, 72, 1, 1, 0, 0, 0]
[0, 2, 14, 70, 21.501426016771934, 51.7822909919729, 5, 70, 1, 1, 0, 0, 0]
[0, 2, 15, 68, 19.23146007467383, 43.00285203354387, 5, 68, 3, 0, 0, 0, 0]
[0, 2, 16, 66, 19.23146007467383, 43.00285203354387, 5, 66, 2, 2, 0, 0, 0]
[0, 2, 17, 64, 19.23146007467383, 43.00285203354387, 5, 64, 2, 2, 0, 0, 0]
[0, 2, 18, 62, 9.615730037336915, 48.07865018668458, 5, 62, 1, 1, 0, 0, 0]
[0, 2, 19, 60, 9.615730037336915, 48.07865018668458, 5, 60, 2, 2, 0, 0, 0]
[0, 2, 20, 58, 13.598695830920215, 40.796087492760634, 5, 58, 3, 0, 0, 0, 0]
[0, 2, 21, 56, 9.615730037336915, 48.07865018668458, 5, 56, 1, 1, 0, 0, 0]
[0, 2, 22, 54, 13.598695830920215, 40.796087492760634, 5, 54, 0, 0, 0, 0, 0]
[0, 2, 23, 52, 21.501426016771934, 34.670007700637505, 10, 52, 3, 0, 0, 0, 0]
[0, 2, 24, 50, 13.598695830920215, 40.796087492760634, 5, 50, 1, 1, 0, 0, 0]
[0, 2, 25, 48, 9.615730037336915, 48.07865018668458, 5, 48, 1, 1, 0, 0, 0]
[0, 2, 26, 46, 13.598695830920215, 40.796087492760634, 5, 46, 0, 0, 0, 0, 0]
[0, 2, 27, 44, 21.501426016771934, 34.670007700637505, 10, 44, 0, 0, 0, 0, 0]
[0, 2, 28, 42, 21.501426016771934, 34.670007700637505, 10, 42, 2, 2, 0, 0, 0]
[0, 2, 29, 40, 21.501426016771934, 34.670007700637505, 10, 40, 2, 2, 0, 0, 0]
[0, 2, 30, 38, 13.598695830920215, 40.796087492760634, 5, 38, 1, 1, 0, 0, 0]
[0, 2, 31, 36, 9.615730037336915, 48.07865018668458, 5, 36, 1, 1, 0, 0, 0]
[0, 2, 32, 34, 0, 54.39478332368086, 5, 34, 1, 1, 1, 0, 0]
[0, 3, 0, 98, 90.7146157431864, 94.70395779819081, -1, 98, 0, 0, 0, 0, 0]
[0, 3, 1, 96, 82.71763746124408, 91.22282484984174, -1, 96, 3, 0, 0, 0, 0]
[0, 3, 2, 94, 75.10125240771652, 88.65265056855428, -1, 94, 3, 0, 0, 0, 0]
[0, 3, 3, 92, 75.10125240771652, 88.65265056855428, -1, 92, 2, 2, 0, 0, 0]
[0, 3, 4, 90, 75.10125240771652, 88.65265056855428, -1, 90, 2, 2, 0, 0, 0]
[0, 3, 5, 88, 67.99347915460106, 87.07413887244226, -1, 88, 1, 1, 0, 0, 0]
[0, 3, 6, 86, 61.57071406268307, 77.52449399906664, -1, 86, 3, 0, 0, 0, 0]
[0, 3, 7, 84, 61.57071406268307, 77.52449399906664, -1, 84, 2, 2, 0, 0, 0]
[0, 3, 8, 82, 54.39478332368086, 76.92584029869532, -1, 82, 1, 1, 0, 0, 0]
[0, 3, 9, 80, 54.39478332368086, 76.92584029869532, -1, 80, 2, 2, 0, 0, 0]
[0, 3, 10, 78, 48.07865018668458, 67.3101102613584, -1, 78, 0, 0, 0, 0, 0]
[0, 3, 11, 76, 40.796087492760634, 67.99347915460106, -1, 76, 1, 1, 0, 0, 0]
[0, 3, 12, 74, 40.796087492760634, 67.99347915460106, -1, 74, 2, 2, 0, 0, 0]
[0, 3, 13, 72, 48.07865018668458, 67.3101102613584, -1, 72, 1, 1, 0, 0, 0]
[0, 3, 14, 70, 43.00285203354387, 57.69438022402149, -1, 70, 0, 0, 0, 0, 0]
[0, 3, 15, 68, 39.646670611364556, 48.07865018668458, -1, 68, 3, 0, 0, 0, 0]
[0, 3, 16, 66, 39.646670611364556, 48.07865018668458, -1, 66, 2, 2, 0, 0, 0]
[0, 3, 17, 64, 38.46292014934766, 38.46292014934766, -1, 64, 3, 0, 0, 0, 0]
[0, 3, 18, 62, 38.46292014934766, 38.46292014934766, -1, 62, 2, 2, 0, 0, 0]
[0, 3, 19, 60, 39.646670611364556, 28.847190112010743, 10, 60, 3, 0, 0, 0, 0]
[0, 3, 20, 58, 39.646670611364556, 28.847190112010743, 10, 58, 2, 2, 0, 0, 0]
[0, 3, 21, 56, 39.646670611364556, 28.847190112010743, 10, 56, 2, 2, 0, 0, 0]
[0, 3, 22, 54, 39.646670611364556, 28.847190112010743, 10, 54, 2, 2, 0, 0, 0]
[0, 3, 23, 52, 30.407608283280585, 30.407608283280585, 10, 52, 1, 1, 0, 0, 0]
[0, 3, 24, 50, 30.407608283280585, 30.407608283280585, 10, 50, 2, 2, 0, 0, 0]
[0, 3, 25, 48, 21.501426016771934, 34.670007700637505, 10, 48, 1, 1, 0, 0, 0]
[0, 3, 26, 46, 21.501426016771934, 34.670007700637505, 10, 46, 2, 2, 0, 0, 0]
[0, 3, 27, 44, 13.598695830920215, 40.796087492760634, 5, 44, 1, 1, 0, 0, 0]
[0, 3, 28, 42, 13.598695830920215, 40.796087492760634, 5, 42, 2, 2, 0, 0, 0]
[0, 3, 29, 40, 21.501426016771934, 34.670007700637505, 10, 40, 0, 0, 0, 0, 0]
[0, 3, 30, 38, 13.598695830920215, 40.796087492760634, 5, 38, 1, 1, 0, 0, 0]
[0, 3, 31, 36, 13.598695830920215, 40.796087492760634, 5, 36, 2, 2, 0, 0, 0]
[0, 3, 32, 34, 21.501426016771934, 34.670007700637505, 10, 34, 0, 0, 0, 0, 0]
[0, 3, 33, 32, 27.19739166184043, 27.19739166184043, 10, 32, 3, 0, 0, 0, 0]
[0, 3, 34, 30, 34.670007700637505, 21.501426016771934, 10, 30, 0, 0, 0, 0, 0]
[0, 3, 35, 28, 40.796087492760634, 13.598695830920215, 10, 28, 3, 0, 0, 0, 0]
[0, 3, 36, 26, 40.796087492760634, 13.598695830920215, 10, 26, 2, 2, 0, 0, 0]
[0, 3, 37, 24, 48.07865018668458, 9.615730037336915, 10, 24, 0, 0, 0, 0, 0]
[0, 3, 38, 22, 54.39478332368086, 0, 10, 22, 3, 0, 1, 0, 0]
[0, 4, 0, 98, 90.7146157431864, 94.70395779819081, -1, 98, 1, 1, 0, 0, 0]
[0, 4, 1, 96, 82.71763746124408, 91.22282484984174, -1, 96, 3, 0, 0, 0, 0]
[0, 4, 2, 94, 75.10125240771652, 88.65265056855428, -1, 94, 0, 0, 0, 0, 0]
[0, 4, 3, 92, 67.99347915460106, 87.07413887244226, -1, 92, 3, 0, 0, 0, 0]
[0, 4, 4, 90, 67.99347915460106, 87.07413887244226, -1, 90, 2, 2, 0, 0, 0]
[0, 4, 5, 88, 61.57071406268307, 77.52449399906664, -1, 88, 3, 0, 0, 0, 0]
