nom,epoch,trial,battery,station,target,reward,state,action,destiny,done,fail,other
[0, 0, 0, 98, 99, 99, -1, 98, 2, 2, 0, 0, 0]
[0, 0, 1, 96, 90.7146157431864, 94.70395779819081, -1, 96, 1, 1, 0, 0, 0]
[0, 0, 2, 94, 86.00570406708773, 86.00570406708773, -1, 94, 3, 0, 0, 0, 0]
[0, 0, 3, 92, 86.00570406708773, 86.00570406708773, -1, 92, 2, 2, 0, 0, 0]
[0, 0, 4, 90, 82.15683345296888, 77.52449399906664, -1, 90, 3, 0, 0, 0, 0]
[0, 0, 5, 88, 79.29334122272911, 69.34001540127501, -1, 88, 3, 0, 0, 0, 0]
[0, 0, 6, 86, 70.0035713374682, 64.5042780503158, -1, 86, 1, 1, 0, 0, 0]
[0, 0, 7, 84, 60.81521656656117, 60.81521656656117, -1, 84, 3, 0, 0, 0, 0]
[0, 0, 8, 82, 51.7822909919729, 58.490202372576086, -1, 82, 1, 1, 0, 0, 0]
[0, 0, 9, 80, 56.06885928153056, 67.99347915460106, -1, 80, 1, 1, 0, 0, 0]
[0, 0, 10, 78, 51.7822909919729, 58.490202372576086, -1, 78, 0, 0, 0, 0, 0]
[0, 0, 11, 76, 60.81521656656117, 60.81521656656117, -1, 76, 3, 0, 0, 0, 0]
[0, 0, 12, 74, 51.7822909919729, 58.490202372576086, -1, 74, 0, 0, 0, 0, 0]
[0, 0, 13, 72, 51.7822909919729, 58.490202372576086, -1, 72, 2, 2, 0, 0, 0]
[0, 0, 14, 70, 60.81521656656117, 60.81521656656117, -1, 70, 3, 0, 0, 0, 0]
[0, 0, 15, 68, 51.7822909919729, 58.490202372576086, -1, 68, 3, 0, 0, 0, 0]
[0, 0, 16, 66, 60.81521656656117, 60.81521656656117, -1, 66, 0, 0, 0, 0, 0]
[0, 0, 17, 64, 51.7822909919729, 58.490202372576086, -1, 64, 0, 0, 0, 0, 0]
[0, 0, 18, 62, 56.06885928153056, 67.99347915460106, -1, 62, 1, 1, 0, 0, 0]
[0, 0, 19, 60, 51.7822909919729, 58.490202372576086, -1, 60, 1, 1, 0, 0, 0]
[0, 0, 20, 58, 51.7822909919729, 58.490202372576086, -1, 58, 2, 2, 0, 0, 0]
[0, 0, 21, 56, 60.81521656656117, 60.81521656656117, -1, 56, 3, 0, 0, 0, 0]
[0, 0, 22, 54, 51.7822909919729, 58.490202372576086, -1, 54, 0, 0, 0, 0, 0]
[0, 0, 23, 52, 56.06885928153056, 67.99347915460106, -1, 52, 1, 1, 0, 0, 0]
[0, 0, 24, 50, 51.7822909919729, 58.490202372576086, -1, 50, 3, 0, 0, 0, 0]
[0, 0, 25, 48, 56.06885928153056, 67.99347915460106, -1, 48, 1, 1, 0, 0, 0]
[0, 0, 26, 46, 51.7822909919729, 58.490202372576086, -1, 46, 1, 1, 0, 0, 0]
[0, 0, 27, 44, 60.81521656656117, 60.81521656656117, -1, 44, 0, 0, 0, 0, 0]
[0, 0, 28, 42, 51.7822909919729, 58.490202372576086, -1, 42, 3, 0, 0, 0, 0]
[0, 0, 29, 40, 51.7822909919729, 58.490202372576086, -1, 40, 2, 2, 0, 0, 0]
[0, 0, 30, 38, 60.81521656656117, 60.81521656656117, -1, 38, 0, 0, 0, 0, 0]
[0, 0, 31, 36, 60.81521656656117, 60.81521656656117, -1, 36, 2, 2, 0, 0, 0]
[0, 0, 32, 34, 51.7822909919729, 58.490202372576086, -1, 34, 3, 0, 0, 0, 0]
[0, 0, 33, 32, 51.7822909919729, 58.490202372576086, -1, 32, 2, 2, 0, 0, 0]
[0, 0, 34, 30, 60.81521656656117, 60.81521656656117, -1, 30, 0, 0, 0, 0, 0]
[0, 0, 35, 28, 51.7822909919729, 58.490202372576086, -1, 28, 3, 0, 0, 0, 0]
