nom,epoch,trial,battery,station,target,reward,state,action,x,y,done,fail,ds
[0, 0, 1, 97.5, 90.7146157431864, 94.70395779819081, -1, 35, 1, 1, 0, 0, 0, 0]
[0, 0, 2, 96.0, 90.7146157431864, 94.70395779819081, -1, 35, 2, 1, 0, 0, 0, 0]
[0, 0, 3, 94.5, 82.71763746124408, 91.22282484984174, -1, 35, 1, 2, 0, 0, 0, 0]
[0, 0, 4, 93.0, 82.71763746124408, 91.22282484984174, -1, 35, 2, 2, 0, 0, 0, 0]
[0, 0, 5, 91.5, 75.10125240771652, 88.65265056855428, -1, 35, 1, 3, 0, 0, 0, 0]
[0, 0, 6, 90.0, 75.10125240771652, 88.65265056855428, -1, 35, 2, 3, 0, 0, 0, 0]
[0, 0, 7, 88.5, 69.34001540127501, 79.29334122272911, -1, 35, 1, 3, 1, 0, 0, 0]
[0, 0, 8, 87.0, 64.5042780503158, 70.0035713374682, -1, 35, 0, 3, 2, 0, 0, 0]
[0, 0, 9, 85.5, 56.06885928153056, 67.99347915460106, -1, 34, 1, 4, 2, 0, 0, 0]
[0, 0, 10, 84.0, 48.07865018668458, 67.3101102613584, -1, 34, 1, 5, 2, 0, 0, 0]
[0, 0, 11, 82.5, 40.796087492760634, 67.99347915460106, -1, 34, 1, 6, 2, 0, 0, 0]
[0, 0, 12, 81.0, 48.07865018668458, 77.52449399906664, -1, 34, 1, 6, 1, 0, 0, 0]
[0, 0, 13, 79.5, 40.796087492760634, 67.99347915460106, -1, 34, 1, 6, 2, 0, 0, 0]
[0, 0, 14, 78.0, 48.07865018668458, 77.52449399906664, -1, 34, 1, 6, 1, 0, 0, 0]
[0, 0, 15, 76.5, 40.796087492760634, 67.99347915460106, -1, 34, 1, 6, 2, 0, 0, 0]
[0, 0, 16, 75.0, 48.07865018668458, 77.52449399906664, -1, 34, 1, 6, 1, 0, 0, 0]
[0, 0, 17, 73.5, 40.796087492760634, 67.99347915460106, -1, 34, 1, 6, 2, 0, 0, 0]
[0, 0, 18, 72.0, 48.07865018668458, 77.52449399906664, -1, 34, 1, 6, 1, 0, 0, 0]
[0, 0, 19, 70.5, 40.796087492760634, 67.99347915460106, -1, 34, 1, 6, 2, 0, 0, 0]
[0, 0, 20, 69.0, 48.07865018668458, 77.52449399906664, -1, 25, 1, 6, 1, 0, 0, 0]
[0, 0, 21, 67.5, 40.796087492760634, 67.99347915460106, -1, 25, 1, 6, 2, 0, 0, 0]
[0, 0, 22, 66.0, 48.07865018668458, 77.52449399906664, -1, 25, 1, 6, 1, 0, 0, 0]
[0, 0, 23, 64.5, 40.796087492760634, 67.99347915460106, -1, 25, 1, 6, 2, 0, 0, 0]
[0, 0, 24, 63.0, 48.07865018668458, 77.52449399906664, -1, 25, 1, 6, 1, 0, 0, 0]
[0, 0, 25, 61.5, 40.796087492760634, 67.99347915460106, -1, 25, 1, 6, 2, 0, 0, 0]
[0, 0, 26, 60.0, 48.07865018668458, 77.52449399906664, -1, 25, 1, 6, 1, 0, 0, 0]
[0, 0, 27, 58.5, 40.796087492760634, 67.99347915460106, -1, 25, 1, 6, 2, 0, 0, 0]
[0, 0, 28, 57.0, 48.07865018668458, 77.52449399906664, -1, 25, 1, 6, 1, 0, 0, 0]
[0, 0, 29, 55.5, 40.796087492760634, 67.99347915460106, -1, 25, 1, 6, 2, 0, 0, 0]
[0, 0, 30, 54.0, 48.07865018668458, 77.52449399906664, -1, 25, 1, 6, 1, 0, 0, 0]
[0, 0, 31, 52.5, 40.796087492760634, 67.99347915460106, -1, 25, 1, 6, 2, 0, 0, 0]
[0, 0, 32, 51.0, 48.07865018668458, 77.52449399906664, -1, 25, 1, 6, 1, 0, 0, 0]
[0, 0, 33, 49.5, 40.796087492760634, 67.99347915460106, -1, 16, 1, 6, 2, 0, 0, 0]
[0, 0, 34, 48.0, 48.07865018668458, 77.52449399906664, -1, 16, 1, 6, 1, 0, 0, 0]
[0, 0, 35, 46.5, 40.796087492760634, 67.99347915460106, -1, 16, 1, 6, 2, 0, 0, 0]
[0, 0, 36, 45.0, 48.07865018668458, 77.52449399906664, -1, 16, 1, 6, 1, 0, 0, 0]
[0, 0, 37, 43.5, 40.796087492760634, 67.99347915460106, -1, 16, 1, 6, 2, 0, 0, 0]
[0, 0, 38, 42.0, 48.07865018668458, 77.52449399906664, -1, 16, 1, 6, 1, 0, 0, 0]
[0, 0, 39, 40.5, 40.796087492760634, 67.99347915460106, -1, 16, 1, 6, 2, 0, 0, 0]
[0, 0, 40, 38.5, 48.07865018668458, 77.52449399906664, -1, 16, 1, 6, 1, 0, 0, 0]
[0, 0, 41, 36.0, 40.796087492760634, 67.99347915460106, -1, 16, 1, 6, 2, 0, 0, 0]
[0, 0, 42, 33.5, 48.07865018668458, 77.52449399906664, -1, 16, 1, 6, 1, 0, 0, 0]
[0, 0, 43, 31.0, 40.796087492760634, 67.99347915460106, -1, 16, 1, 6, 2, 0, 0, 0]
[0, 0, 44, 28.5, 48.07865018668458, 77.52449399906664, -1, 7, 1, 6, 1, 0, 0, 0]
[0, 0, 45, 26.0, 40.796087492760634, 67.99347915460106, -1, 7, 1, 6, 2, 0, 0, 0]
[0, 0, 46, 23.5, 48.07865018668458, 77.52449399906664, -1, 7, 1, 6, 1, 0, 0, 0]
