nom,epoch,trial,battery,station,target,reward,state,action,x,y,done,fail,other
[0, 0, 1, 97.5, 90.7146157431864, 94.70395779819081, -1, 35, 1, 1, 0, 0, 0, 0]
[0, 0, 2, 96.0, 90.7146157431864, 94.70395779819081, -1, 35, 2, 1, 0, 0, 0, 0]
[0, 0, 3, 94.5, 82.71763746124408, 91.22282484984174, -1, 35, 1, 2, 0, 0, 0, 0]
[0, 0, 4, 93.0, 77.52449399906664, 82.15683345296888, -1, 35, 0, 2, 1, 0, 0, 0]
[0, 0, 5, 91.5, 77.52449399906664, 82.15683345296888, -1, 35, 2, 2, 1, 0, 0, 0]
[0, 0, 6, 90.0, 77.52449399906664, 82.15683345296888, -1, 35, 2, 2, 1, 0, 0, 0]
[0, 0, 7, 88.5, 73.23121821159823, 73.23121821159823, -1, 35, 0, 2, 2, 0, 0, 0]
[0, 0, 8, 87.0, 70.0035713374682, 64.5042780503158, -1, 35, 0, 2, 3, 0, 0, 0]
[0, 0, 9, 85.5, 67.99347915460106, 56.06885928153056, -1, 32, 0, 2, 4, 0, 0, 0]
[0, 0, 10, 84.0, 58.490202372576086, 51.7822909919729, -1, 32, 1, 3, 4, 0, 0, 0]
[0, 0, 11, 82.5, 57.69438022402149, 43.00285203354387, -1, 31, 0, 3, 5, 0, 0, 0]
[0, 0, 12, 81.0, 48.07865018668458, 39.646670611364556, -1, 31, 1, 4, 5, 0, 0, 0]
[0, 0, 13, 79.5, 49.030795097821205, 49.030795097821205, -1, 31, 1, 4, 4, 0, 0, 0]
[0, 0, 14, 78.0, 39.646670611364556, 48.07865018668458, -1, 31, 1, 5, 4, 0, 0, 0]
[0, 0, 15, 76.5, 30.407608283280585, 49.030795097821205, 5, 31, 1, 6, 4, 0, 0, 0]
[0, 0, 16, 75.0, 28.847190112010743, 39.646670611364556, 5, 30, 0, 6, 5, 0, 0, 0]
[0, 0, 17, 73.5, 30.407608283280585, 30.407608283280585, 10, 30, 0, 6, 6, 0, 0, 0]
[0, 0, 18, 72.0, 39.646670611364556, 28.847190112010743, 10, 27, 0, 5, 6, 0, 0, 0]
[0, 0, 19, 69.75, 43.00285203354387, 19.23146007467383, 10, 28, 0, 5, 7, 0, 0, 0]
[0, 0, 20, 67.5, 48.07865018668458, 9.615730037336915, 10, 19, 0, 5, 8, 0, 0, 0]
[0, 0, 21, 65.25, 54.39478332368086, 0, 10, 19, 0, 5, 9, 1, 0, 0]
